"Geneid","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000172380.5",-0.422657446572344,3.23997049320627,-4.74217415377914,6.34131641390571e-05,0.476181501407628,0.729361452988584
"ENSG00000163879.10",-0.479060172018948,1.08294710513713,-4.50762463006069,0.00011844907797408,0.476181501407628,0.31819864090048
"ENSG00000170248.13",-0.396649054749961,5.08224273039689,-4.47093522650554,0.000130593892826052,0.476181501407628,0.253539541476657
"ENSG00000140367.11",-0.624497922046636,3.60123155420103,-4.44931011298672,0.000138324328658715,0.476181501407628,0.21539210163277
"ENSG00000132003.9",-0.400187262335305,1.64511014840456,-4.32036055772449,0.000194822757935688,0.495395081232493,-0.012573145095355
"ENSG00000025708.13",-0.481600929228103,2.69615519572589,-4.11975628340503,0.000331266032527342,0.495395081232493,-0.368412431827692
"ENSG00000070601.9",-0.835670281071964,2.50665300232622,-4.08184896253554,0.00036609256546325,0.495395081232493,-0.435744428584051
"ENSG00000197016.11",-0.341706757232512,1.31607187527311,-4.0808375323278,0.000367069685252977,0.495395081232493,-0.437541133004715
"ENSG00000157985.18",-0.251202417096248,4.62658169128543,-4.06484504269745,0.000382866217222603,0.495395081232493,-0.465951037603645
"ENSG00000135828.11",-0.42444303578197,1.72044686206149,-4.01660653842922,0.000434688876972291,0.495395081232493,-0.551649199335044
"ENSG00000137802.13",-0.316504319312757,3.69209000876444,-3.92745719853737,0.000549285686521463,0.495395081232493,-0.709999313455953
"ENSG00000073008.14",-0.501077471087509,4.04968745700776,-3.91304613026223,0.000570413769631829,0.495395081232493,-0.735587517761475
"ENSG00000102871.15",-0.31747862408254,1.66220279511585,-3.8839344343653,0.000615560896122825,0.495395081232493,-0.787265831210095
"ENSG00000108784.9",-0.413516344889938,2.38050610654967,-3.8749289762646,0.000630224883419665,0.495395081232493,-0.803248287115522
"ENSG00000099282.9",-0.701724734851456,3.02736000459965,-3.86290335027208,0.000650342952941293,0.495395081232493,-0.824587655090872
"ENSG00000102547.18",-0.558915758448729,2.46578938801507,-3.86236920638075,0.000651251020393289,0.495395081232493,-0.825535401612097
"ENSG00000164674.15",-0.470197664064777,3.58899339482733,-3.85386025645808,0.000665885616363027,0.495395081232493,-0.840632027204077
"ENSG00000219481.10",-0.520973633197476,3.16522968214727,-3.84685164957328,0.000678181860185911,0.495395081232493,-0.853065213577272
"ENSG00000101986.11",-0.392099137605188,4.62094143637289,-3.81145117501557,0.000743777110993366,0.495395081232493,-0.915842127457686
"ENSG00000175662.17",-0.224073631240594,6.69631082151353,-3.78118072125049,0.000804771324135669,0.495395081232493,-0.969487185760332
"ENSG00000165801.9",-0.329185085494175,4.43504202476167,-3.72734875733019,0.000925572730231711,0.495395081232493,-1.06479371169962
"ENSG00000196544.7",-0.220829004835932,2.9005065968008,-3.72637716385639,0.000927908491535958,0.495395081232493,-1.0665126287915
"ENSG00000233621.1",-0.502757805851762,1.27843974944816,-3.72346497397018,0.00093494415172573,0.495395081232493,-1.07166451564612
"ENSG00000133069.14",-0.575040189496787,3.63991939477282,-3.71860763171001,0.000946795465611355,0.495395081232493,-1.08025657769373
"ENSG00000131370.15",-0.691460511680989,2.34346199517837,-3.7154679400997,0.000954533988162068,0.495395081232493,-1.08580968069838
"ENSG00000175787.16",-0.387130062422345,1.05459094124112,-3.71470675866163,0.000956419400252646,0.495395081232493,-1.08715588913574
"ENSG00000064309.14",-0.431796341157337,1.42038127721889,-3.67725577278501,0.00105382000070427,0.495395081232493,-1.15335234775158
"ENSG00000137496.17",-0.314411697399234,1.88822254217478,-3.67479704816296,0.00106054313757576,0.495395081232493,-1.15769550569742
"ENSG00000258056.2",-0.310148435715898,2.13498444308653,-3.66818128335645,0.00107884204023431,0.495395081232493,-1.16938000168426
"ENSG00000135472.8",-0.498613133284002,0.950855329722271,-3.66801994837764,0.00107929211597493,0.495395081232493,-1.16966491244384
"ENSG00000115170.13",-0.48120839722158,3.45421669673417,-3.64723061935743,0.0011388485906167,0.505869196541676,-1.2063646643205
"ENSG00000081377.16",-0.362995409405941,1.27055283594433,-3.61046767765865,0.00125211191185589,0.538799407070487,-1.27119449021385
"ENSG00000082397.16",-0.632930680819887,3.01097111458598,-3.56158964401497,0.00141984030820001,0.542363657417497,-1.35723979558256
"ENSG00000271254.6",-0.494097782144056,2.47393049407912,-3.53900067628138,0.0015045647267076,0.542363657417497,-1.3969427492323
"ENSG00000139668.8",-0.296244783764238,2.00297228547574,-3.53703684850043,0.00151215867201772,0.542363657417497,-1.40039243527756
"ENSG00000185924.6",-0.506923127873902,1.57497591880417,-3.53390102424169,0.00152436199707525,0.542363657417497,-1.40590019247192
"ENSG00000188641.12",-0.322367963414515,2.18709746112491,-3.53225896475728,0.00153079037539102,0.542363657417497,-1.40878397128572
"ENSG00000144591.18",-0.27603592227345,3.36887932622618,-3.51554157309753,0.00159775495937989,0.542363657417497,-1.43812979150254
"ENSG00000196227.10",-0.425998399449011,4.11810240460814,-3.50631368821036,0.00163593012423188,0.542363657417497,-1.45431797305576
"ENSG00000186076.5",-0.267424941325336,1.99590553584795,-3.49367857852422,0.00168964167045091,0.542363657417497,-1.47647087282416
"ENSG00000270175.1",-0.331464475500159,1.17291732894416,-3.48948811332441,0.00170783068289765,0.542363657417497,-1.48381469540954
"ENSG00000178860.8",-0.366452675160479,1.34433259752153,-3.47516794363541,0.00177143517656604,0.542363657417497,-1.50889845108424
"ENSG00000148297.15",-0.240513458507938,3.44759747064479,-3.47169259176901,0.00178721477980755,0.542363657417497,-1.51498306062826
"ENSG00000162552.14",-0.758886784027181,1.79986311324767,-3.46855584493879,0.00180157407312855,0.542363657417497,-1.5204738407924
"ENSG00000171408.13",-0.312504295986148,2.27729812497176,-3.44092012194378,0.00193301763853259,0.542363657417497,-1.56880724684013
"ENSG00000116991.10",-0.657879075750281,3.38450041603139,-3.43761863488761,0.00194932914680623,0.542363657417497,-1.57457620233508
"ENSG00000099326.8",-0.320155677119607,3.48928701473625,-3.43556980537844,0.00195951873918348,0.542363657417497,-1.57815572121707
