gene_id,log2FC_PD_vs_old,p_value,FDR,significant
ENSG00000172380,-0.4226574465723454,8.008604277184086e-05,0.4523568204714096,False
ENSG00000196544,-0.22082900483593315,0.00011012764021708089,0.4523568204714096,False
ENSG00000157985,-0.25120241709624747,0.00015608956334382947,0.4523568204714096,False
ENSG00000163879,-0.4790601720189478,0.00016486065845901603,0.4523568204714096,False
ENSG00000132003,-0.4001872623353053,0.00018807483348226478,0.4523568204714096,False
ENSG00000170248,-0.3966490547499628,0.00020705638003140408,0.4523568204714096,False
ENSG00000197016,-0.3417067572325123,0.0002299562631299831,0.4523568204714096,False
ENSG00000175662,-0.22407363124059643,0.0003266203451775825,0.4630751618913573,False
ENSG00000140367,-0.6244979220466362,0.00035703870335000146,0.4630751618913573,False
ENSG00000102871,-0.31747862408254024,0.00036689839870713355,0.4630751618913573,False
ENSG00000135365,-0.17829162537761434,0.0003854823428987375,0.4630751618913573,False
ENSG00000149823,-0.15149594010545275,0.00046720978051015727,0.4630751618913573,False
ENSG00000137802,-0.31650431931275946,0.0005130129023725295,0.4630751618913573,False
ENSG00000135828,-0.4244430357819704,0.000567956938739429,0.4630751618913573,False
ENSG00000025708,-0.4816009292281036,0.0005811590689286615,0.4630751618913573,False
ENSG00000163479,-0.17018461728206002,0.0006430466394061603,0.4630751618913573,False
ENSG00000110107,-0.18713302054407954,0.0006491804388124192,0.4630751618913573,False
ENSG00000101337,-0.1887108289829733,0.0007656216973193418,0.4630751618913573,False
ENSG00000137496,-0.31441169739923414,0.0007801251108977921,0.4630751618913573,False
ENSG00000258056,-0.31014843571589923,0.0007949531662151861,0.4630751618913573,False
ENSG00000186076,-0.2674249413253369,0.0008318251566463352,0.4630751618913573,False
ENSG00000108784,-0.4135163448899397,0.0008718412301836303,0.4630751618913573,False
ENSG00000148297,-0.2405134585079387,0.000909639998553553,0.4630751618913573,False
ENSG00000070601,-0.8356702810719652,0.0009832334215659027,0.4630751618913573,False
ENSG00000119321,-0.19935293290260336,0.0010386075733481662,0.4630751618913573,False
ENSG00000139668,-0.2962447837642379,0.0010554677045276563,0.4630751618913573,False
ENSG00000074755,-0.17634295943440037,0.0010783273284125628,0.4630751618913573,False
ENSG00000175787,-0.38713006242234527,0.0011046553856678325,0.4630751618913573,False
ENSG00000073008,-0.5010774710875099,0.0011762650657947003,0.4630751618913573,False
ENSG00000165801,-0.3291850854941769,0.001176703806194004,0.4630751618913573,False
ENSG00000128951,-0.22555695215095595,0.0012187378811172312,0.4630751618913573,False
ENSG00000101986,-0.39209913760518766,0.0012338375236838042,0.4630751618913573,False
ENSG00000144591,-0.2760359222734512,0.0012471465503750571,0.4630751618913573,False
ENSG00000164674,-0.47019766406477714,0.001248505885750862,0.4630751618913573,False
ENSG00000101346,-0.15554904141620174,0.0012846077096065175,0.4630751618913573,False
ENSG00000100991,-0.1581011051239214,0.0013150467264129038,0.4630751618913573,False
ENSG00000102547,-0.5589157584487308,0.0013167409914925296,0.4630751618913573,False
ENSG00000081377,-0.36299540940594155,0.0013377031406899423,0.4630751618913573,False
ENSG00000219481,-0.5209736331974772,0.0013517085848381936,0.4630751618913573,False
ENSG00000101997,-0.1839665023127206,0.0013716814881372,0.4630751618913573,False
ENSG00000188641,-0.32236796341451557,0.0014135008018715393,0.4630751618913573,False
ENSG00000159658,-0.15706079173310528,0.001444332451377208,0.4630751618913573,False
ENSG00000064309,-0.43179634115733756,0.0015182010451768196,0.4630751618913573,False
ENSG00000118960,-0.2652356258193551,0.0015411509780013035,0.4630751618913573,False
ENSG00000099282,-0.701724734851457,0.0015570656761439755,0.4630751618913573,False
ENSG00000270175,-0.331464475500159,0.0015696719330941604,0.4630751618913573,False
ENSG00000216285,-0.2349171754998216,0.0016024412624403223,0.4630751618913573,False
ENSG00000233621,-0.5027578058517628,0.0016142053573554938,0.4630751618913573,False
ENSG00000187147,-0.14007288873581114,0.001709100822101143,0.4708782748301555,False
ENSG00000171408,-0.3125042959861486,0.001776304383507323,0.4708782748301555,False
ENSG00000152291,-0.16194581859024382,0.0017791369695193931,0.4708782748301555,False
ENSG00000131374,-0.2049068984001341,0.0017827398451155984,0.4708782748301555,False
ENSG00000135472,-0.4986131332840026,0.0018323133841395517,0.4708782748301555,False
ENSG00000037637,-0.1404786458286038,0.0018517625028289918,0.4708782748301555,False
ENSG00000121940,-0.237054423619798,0.0019335127652823467,0.4708782748301555,False
ENSG00000133069,-0.5750401894967885,0.0020400065807257032,0.4708782748301555,False
ENSG00000178860,-0.36645267516047886,0.002055256544774021,0.4708782748301555,False
ENSG00000172530,-0.31285600989028506,0.002073950761749587,0.4708782748301555,False
ENSG00000137310,-0.3407557332716391,0.0021195973906768515,0.4708782748301555,False
ENSG00000115170,-0.4812083972215815,0.0021343838548980817,0.4708782748301555,False
ENSG00000134014,-0.189993464527916,0.0021411256063148623,0.4708782748301555,False
ENSG00000131370,-0.6914605116809907,0.002141742966093919,0.4708782748301555,False
ENSG00000139173,-0.3368660667947805,0.0021593025068901983,0.4708782748301555,False
ENSG00000184752,0.17026873862652625,0.0021885410013892485,0.4708782748301555,False
ENSG00000099326,-0.32015567711960724,0.002310218857476246,0.48330106651522975,False
ENSG00000244257,-0.27437815056703885,0.0023293900283383557,0.48330106651522975,False
ENSG00000013523,-0.20437336357550384,0.0023515738167407692,0.48330106651522975,False
ENSG00000168887,-0.1608627158787952,0.0024153850013598245,0.4861721890507112,False
ENSG00000123992,-0.1643688490087536,0.002530609519685443,0.4861721890507112,False
ENSG00000175782,-0.28650220731625087,0.002542473682564897,0.4861721890507112,False
ENSG00000119522,-0.191614445361318,0.0025558453009982603,0.4861721890507112,False
ENSG00000177854,-0.3718904932241722,0.0025852211962158903,0.4861721890507112,False
ENSG00000020256,-0.20775108599780712,0.0025884649800723704,0.4861721890507112,False
ENSG00000185924,-0.5069231278739026,0.0026718580256147196,0.4861721890507112,False
ENSG00000250565,-0.33731219072105856,0.0026750528215764456,0.4861721890507112,False
ENSG00000271254,-0.49409778214405664,0.002683303294688021,0.4861721890507112,False
ENSG00000138660,-0.2548111252979668,0.0028261096151755527,0.5053964857268488,False
ENSG00000196227,-0.4259983994490124,0.0028724025798205328,0.5070895323606248,False
ENSG00000185883,-0.16171257055367283,0.0029431477631499193,0.5130018316275239,False
ENSG00000082397,-0.6329306808198885,0.0030253348114942374,0.5207357544284457,False
ENSG00000214455,-0.2053557369501564,0.0031013840283295752,0.5261052507122869,False
ENSG00000119013,0.18507500705803093,0.0031520131221505735,0.5261052507122869,False
ENSG00000176903,-0.4323054766114738,0.003216462620917695,0.5261052507122869,False
